_id,categoria,link,nombre,puntuacion,ubicacion,lat,long
Teatro Lara,Teatros,http://www.astyaro.com/,Teatro Lara,4.0,"Corredera Baja de San Pablo 15, 28004 Madrid España",40.4221297,-3.7043663
Plaza de la Villa,"['Lugares históricos', 'Puntos emblemáticos y de interés']",https://www.tripadvisor.es/RestaurantsNear-g187514-d246518-Plaza_de_la_Villa-Madrid.html,Plaza de la Villa,4.0,"Plaza de la Villa, Madrid",40.415209000000004,-3.710400431485093
Mercado de Antón Martín,Mercadillos,http://www.mercadoantonmartin.com/,Mercado de Antón Martín,4.5,"Calle Santa Isabel 5, 28012 Madrid España",40.625960500000005,-3.9079925050730413
Primark,Grandes almacenes,https://stores.primark.com/spain/madrid/calle-gran-via-32,Primark,4.0,"Calle Gran Vía 32, 28013 Madrid España",40.4716049,-3.8716913
Biblioteca Nacional de España,Bibliotecas,http://www.bne.es/,Biblioteca Nacional de España,4.5,"Paseo Recoletos 18-20, 28001 Madrid España",40.423998,-3.6907533
Casa de la Panaderia,"['Lugares históricos', 'Interés arquitectonico']",tel:%2B34%20915%2088%2020%2072,Casa de la Panaderia,4.5,"Plaza Mayor 27, 28012 Madrid España",40.4158894,-3.7073989350420167
Teatro Español,Teatros,https://www.teatroespanol.es/,Teatro Español,4.5,"Calle Principe 25, 28014 Madrid España",40.5915504,-4.1501035
Palacio Real de El Pardo,Lugares históricos,http://www.patrimonionacional.es/Home/Palacios-Reales/Palacio-Real-de-El-Pardo/Horario.aspx,Palacio Real de El Pardo,4.0,"Calle Manuel Alonso s/n El Pardo, 28048 Madrid España",40.5203469,-3.7767494
Paseo de la Castellana,"['Barrios', 'Puntos emblemáticos y de interés', 'Paseos por zonas históricas']",http://auschwitz.net/,Paseo de la Castellana,4.0,"Paseo de la Castellana, Madrid",40.4304236,-3.6890223
Parque Lineal Del Manzanares,Parques,http://www.parquelineal.es/introduccion/index.php,Parque Lineal Del Manzanares,4.5,"Parque Lineal Del Manzanares, Madrid",40.3714504,-3.682896658547712
La Caja Lista,Teatros,http://lacajalistateatro.com/,La Caja Lista,5.0,"Calle Canillas Nº 29, 28002 Madrid España",40.4438754,-3.6693273
Cerro del Tío Pío,Parques,https://www.esmadrid.com/en/tourist-information/cerro-tio-pio-park,Cerro del Tío Pío,4.5,"Calle de Benjamín Palencia 2, 28038 Madrid España",40.3943987,-3.6439587
Teatro Rialto,Teatros,http://www.teatrevictoria.com/,Teatro Rialto,4.0,"Calle Gran Via 54, 28004 Madrid España",40.470456999999996,-3.8714145432576768
Calle de Alcalá,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d7824943-Calle_de_Alcala-Madrid.html,Calle de Alcalá,4.5,"Calle de Alcalá, Madrid",40.4418595,-3.6232585
Banco de España,Interés arquitectonico,No disponible,Banco de España,4.0,"Calle de Alcala, 48, 28014 Madrid España",40.419174,-3.6947303
Teatro Calderón,"['Ópera', 'Teatros']",http://teatrocalderon.es/,Teatro Calderón,4.0,"Ronda Atocha 18, 28012 Madrid España",40.4065721,-3.697498
Teatro de la Zarzuela,Teatros,http://teatrodelazarzuela.mcu.es/,Teatro de la Zarzuela,4.5,"Calle Jovellanos 4, 28014 Madrid España",40.4172586,-3.6971936762224806
Museo de America,Museos de historia,http://www.mecd.gob.es/museodeamerica/en/el-museo.html,Museo de America,4.0,"Avenida de los Reyes Catolicos, 6, 28040 Madrid España",40.43828685,-3.721583300844946
Palacio de los Deportes,Complejos deportivos,http://palaciodedeportes.com/,Palacio de los Deportes,4.0,"Plaza de Felipe II 4, 28009 Madrid España",40.54083275,-3.6324140316425124
El Oso y el Madroño,Puntos emblemáticos y de interés,No disponible,El Oso y el Madroño,4.0,"Plaza de La Puerta del Sol s/n, 28013 Madrid España",40.4168689,-3.7024496
Museo del Ferrocarril de Madrid,"['Museos especializados', 'Museos de historia']",http://www.museodelferrocarril.org/,Museo del Ferrocarril de Madrid,4.0,"Paseo Delicias 61, 28045 Madrid España",40.3993218,-3.6921489
Corral De La Moreria,Cenas con espectáculo,http://www.corraldelamoreria.com/,Corral De La Moreria,4.5,"Calle Morería, 17, 28005 Madrid España",40.4127674,-3.7141526
Cripta de la Almudena,Puntos emblemáticos y de interés,http://criptaalmudena.archimadrid.es/,Cripta de la Almudena,4.5,"Calle Mayor 90, 28013 Madrid España",40.481277,-3.3687056
Teatro Coliseum,Teatros,http://www.teatromadrid.es/teatro-coliseum?tb_orderby=popular,Teatro Coliseum,4.0,"Gran Vía 78, 28013 Madrid España",40.4232626,-3.7103414
Mercado San Fernando,"['Mercadillos', 'Mercados de agricultores']",http://www.mercadodesanfernando.es/,Mercado San Fernando,4.0,"Calle Embajadores 41, 28012 Madrid España",40.4048383,-3.702243
Museo Casa de la Moneda,Museos especializados,http://www.museocasadelamoneda.es/,Museo Casa de la Moneda,4.5,"Calle Doctor Esquerdo 36, 28009 Madrid España",40.4133646,-3.6707516
Iglesia de San Manuel y San Benito,Lugares religiosos,http://www.samasabe.es/,Iglesia de San Manuel y San Benito,4.5,"Calle Alcala 83, 28001 Madrid España",40.4206967,-3.6851451
La Orden Escape Room,Juegos de escape,http://laordenescape.com/,La Orden Escape Room,5.0,"Calle Tomás Borrás, 10, 28045 Madrid España",40.39541319999999,-3.6974829310646067
Puerta de Toledo,"['Puntos emblemáticos y de interés', 'Monumentos y estatuas']",https://www.tripadvisor.es/RestaurantsNear-g187514-d244296-Puerta_de_Toledo-Madrid.html,Puerta de Toledo,4.0,"Puerta de Toledo, Madrid",40.4070507,-3.7110664
Plaza Colón,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d532192-Plaza_Colon-Madrid.html,Plaza Colón,4.0,"Plaza Colón, Madrid",40.2971948,-3.4323455
Campo del Moro,Parques,http://www.madrid-tourist.com/madrid-attractions/campo-moro-moor-park-madrid.html,Campo del Moro,4.0,"Paseo de la Virgen del Puerto 1, 28005 Madrid España",40.4109076,-3.7213964
Fox In A Box Madrid,"['Juegos de escape', 'Centros de juego y entretenimiento']",http://www.foxinaboxmadrid.com/,Fox In A Box Madrid,5.0,"Calle Infantas, 25, 28004 Madrid España",40.4201396,-3.6975567
Iglesia de Santa Bárbara (Salesas Reales),Lugares religiosos,http://www.parroquiadesantabarbara.es/,Iglesia de Santa Bárbara (Salesas Reales),4.5,"Calle Barbara de Braganza 3, 28004 Madrid España",40.4077497,-3.8839429
Plaza del Callao,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d4559139-Plaza_del_Callao-Madrid.html,Plaza del Callao,4.0,"Plaza del Callao, Madrid",40.4200671,-3.7057727
Calle Mayor,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d7974565-Calle_Mayor-Madrid.html,Calle Mayor,4.0,"Calle Mayor, Madrid",40.4157647,-3.7094753
Basílica de San Miguel,Lugares religiosos,http://www.bsmiguel.es/,Basílica de San Miguel,4.5,"Calle San Justo 4, 28005 Madrid España",40.3585754,-3.7819123
Cuatro Torres Business Area,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d4722358-Cuatro_Torres_Business_Area-Madrid.html,Cuatro Torres Business Area,4.5,"Cuatro Torres Business Area, Madrid",40.4776679,-3.6885374334188397
Iglesia de San Ginés,"['Puntos emblemáticos y de interés', 'Iglesias y catedrales']",http://www.parroquiadesangines.es/,Iglesia de San Ginés,4.0,"Calle del Arenal 13, 28013 Madrid España",40.417005200000006,-3.7070088176475506
Centro de Exposiciones Arte Canal,"['Galerías de arte', 'Museos especializados', 'Museos de historia']",https://www.facebook.com/CentrodeExposicionesArteCanal/,Centro de Exposiciones Arte Canal,4.0,"Paseo Castellana 214, 28046 Madrid España",40.4619897,-3.6896673
Madrid Terror,"['Juegos de escape', 'Teatros', 'Atracciones y actividades']",http://www.madridterror.com/,Madrid Terror,5.0,"Paseo de la Esperanza, 28005 Madrid España",40.4038033,-3.7064862
Essential Flamenco,"['Bares y discotecas', 'Teatros y actuaciones']",http://essentialflamenco.com/,Essential Flamenco,5.0,"Calle de la Cruz 26, 28012 Madrid España",40.4148442,-3.7027669
Monumento a Felipe IV,Monumentos y estatuas,https://www.tripadvisor.es/RestaurantsNear-g187514-d2261632-Monumento_a_Filippo_IV-Madrid.html,Monumento a Felipe IV,4.0,"Monumento a Felipe IV, Madrid",40.41833185,-3.712196548541667
Teatros Luchana,Teatros,http://teatrosluchana.es/,Teatros Luchana,4.0,"Calle Luchana 38, 28010 Madrid España",40.4318686,-3.6982529
Palacio de Gaviria,"['Puntos emblemáticos y de interés', 'Interés arquitectonico', 'Museos de arte']",http://revolucionariosmadrid.com/,Palacio de Gaviria,4.5,"Calle del Arenal 9, 28013 Madrid España",40.4169317,-3.7061643658559222
Iglesia de San Isidro,Iglesias y catedrales,http://www.osmtj.org/,Iglesia de San Isidro,4.0,"Calle de Toledo 37, 28005 Madrid España",40.4129657,-3.706994325237793
Iglesia castrense de Madrid,Iglesias y catedrales,http://www.arzobispadocastrense.com/index.php/arzobispado/iglesia-catedral-de-las-fas,Iglesia castrense de Madrid,4.0,"Calle Sacramento 11, 28005 Madrid España",40.4146506,-3.712181705007944
Puerta de Europa - Torres KIO,Puntos emblemáticos y de interés,No disponible,Puerta de Europa - Torres KIO,4.0,"Plaza de Castilla, 28046 Madrid España",40.4661924,-3.6888341
Edificio Telefónica,"['Puntos emblemáticos y de interés', 'Interés arquitectonico']",http://espacio.fundaciontelefonica.com/,Edificio Telefónica,4.0,"Calle Gran Via 28, 28004 Madrid España",40.4718419,-3.8717434
Cooking Point,Clases de cocina,http://cookingpoint.es/,Cooking Point,5.0,"Calle Moratin 11, 28014 Madrid España",40.412403,-3.6974863321460782
El Rey León,Teatros y actuaciones,http://www.elreyleon.es/,El Rey León,4.5,"Calle Gran Via 57, 28013 Madrid España",40.47083205,-3.871344282431271
Cubick Escape Room,Juegos de escape,http://cubickmadrid.es/,Cubick Escape Room,5.0,"Calle Tellez 3, 28007 Madrid España",40.4042028,-3.6834109247665854
Plaza de la Independencia,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d7138413-Plaza_de_la_Independencia-Madrid.html,Plaza de la Independencia,4.0,"Plaza de la Independencia, Madrid",40.26208295,-4.46628049294435
Real Casa de Correos,Interés arquitectonico,No disponible,Real Casa de Correos,4.0,"Plaza Puerta del Sol 7, 28013 Madrid España",41.10542955,-3.594028171070011
Juego Enigma,Juegos de escape,http://juegoenigmamadrid.es/es,Juego Enigma,5.0,"Calle Nuestra Señora del Carmen 7, 28039 Madrid España",40.6738012,-3.7765264
Puente de Segovia,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d4606322-Puente_de_Segovia-Madrid.html,Puente de Segovia,4.5,"Puente de Segovia, Madrid",40.413965950000005,-3.722856554592399
Monumento a Cristóbal Colón,"['Puntos emblemáticos y de interés', 'Monumentos y estatuas']",https://www.tripadvisor.es/RestaurantsNear-g187514-d4680994-Monumento_de_Cristobal_Colon-Madrid.html,Monumento a Cristóbal Colón,4.0,"Monumento a Cristóbal Colón, Madrid",40.4252013,-3.6904696
Felipe III Statue,Monumentos y estatuas,https://www.tripadvisor.es/RestaurantsNear-g187514-d4468341-Felipe_III_Statue-Madrid.html,Felipe III Statue,4.0,"Felipe III Statue, Madrid",40.4154017,-3.7073906
Plaza de Isabel II,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d4324240-Plaza_de_Isabel_II-Madrid.html,Plaza de Isabel II,4.0,"Plaza de Isabel II, Madrid",40.41815215,-3.709463045445115
Madrid Metro,"['Servicios ferroviarios', 'Sistemas de transporte público']",http://www.metromadrid.es/es/index.html,Madrid Metro,4.5,"Madrid Metro, Madrid",40.4215987,-3.719032
Incognito Escape Game,Juegos de escape,http://incognitoescape.es/,Incognito Escape Game,5.0,"Calle Linneo 4, 28005 Madrid España",40.4134222,-3.7205541
El Hachazo,Campos de tiro,http://el-hachazo.com/,El Hachazo,5.0,"Calle de Narciso Serra, 15, 28007 Madrid España",40.4054907,-3.6786022
Calle 365 Callejón Secreto,Bares y discotecas,http://www.calle365madrid.com/,Calle 365 Callejón Secreto,5.0,"Echegaray 18, 28014 Madrid España",40.4151516,-3.6995745
Enigma Expres,Juegos de escape,http://www.enigmaexpres.com/,Enigma Expres,5.0,"Plaza de la Condesa de Gavia 3, 28020 Madrid España",40.4488174,-3.7020378
Fariolen,Spas,http://www.fariolen.com/,Fariolen,4.5,"Calle Lagasca 80, 28001 Madrid España",40.4277645,-3.6850848
Torres Bermejas,"['Cenas con espectáculo', 'Teatros y actuaciones']",http://torresbermejas.com/,Torres Bermejas,4.5,"Mesonero Romanos, 11, 28013 Madrid España",40.4197612,-3.7042344
Windobona Indoor Skydiving,Centros de juego y entretenimiento,http://www.windobona.es/es/home,Windobona Indoor Skydiving,4.5,"Calderilla,16, 28054 Madrid España",40.363303,-3.7402071
Bite The Fly Escape Room,Juegos de escape,http://bitethefly.com/,Bite The Fly Escape Room,5.0,"Calle del Puerto de Pozazal, 4, 28031 Madrid España",40.3799082,-3.6326013
La Quimera Tablao Flamenco,"['Cenas con espectáculo', 'Teatros y actuaciones']",http://tablaolaquimera.com/,La Quimera Tablao Flamenco,4.5,"Calle Cuchilleros 7, 28005 Madrid España",40.4145408,-3.7079542
Kinnaree Thai Masaje,Spas,http://www.kinnaree.es/,Kinnaree Thai Masaje,5.0,"Calle Argensola 11, 28004 Madrid España",40.4255162,-3.694873959069703
Locktopus Escape Game,Juegos de escape,http://locktopusescape.com/,Locktopus Escape Game,5.0,"Calle de la Batalla del Salado 2, 28045 Madrid España",40.404129,-3.6958925
Coco Room Madrid Room Escape,Juegos de escape,http://cocoroom.es/madrid/,Coco Room Madrid Room Escape,5.0,"Calle Moratines, 18, 28005 Madrid España",40.40261495,-3.70398861633452
Teatro Flamenco Madrid,Teatros y actuaciones,http://teatroflamencomadrid.com/,Teatro Flamenco Madrid,4.5,"Calle del Pez, 10, 28004 Madrid España",40.4232134,-3.7045532
BrainBreak,Juegos de escape,http://www.brainbreak.es/,BrainBreak,5.0,"Calle Encomienda 12, 28012 Madrid España",40.4107717,-3.7057225
Exit Salida Atrapado En El Museo,Juegos de escape,http://www.lasalida.net/,Exit Salida Atrapado En El Museo,4.5,"Calle Jesús del Valle, 32, 28004 Madrid España",40.9519993,-3.5241521
Zero Latency,Centros de juego y entretenimiento,http://www.zerolatencyvr.es/,Zero Latency,4.5,"Calle Londres 25, 28028 Madrid España",40.4260839,-3.5235321146457266
Enbabia Bar,Bares y discotecas,http://www.cocteleriaenbabia.es/,Enbabia Bar,5.0,"Calle de Nunez de Arce 9, 28012 Madrid España",40.4154975,-3.7012292
MThai,Spas,http://mthai.es/,MThai,4.5,"Carrera de San Francisco 11 La Latina, 28005 Madrid España",40.4107488,-3.7130365
Tablao Flamenco Las Tablas,"['Conciertos', 'Cenas con espectáculo', 'Teatros y actuaciones']",http://www.lastablasmadrid.com/,Tablao Flamenco Las Tablas,4.5,"Plaza de España 9, 28008 Madrid España",40.4219053,-3.713606
Sunset 80s,Bares y discotecas,http://muyretro.com/?utm_source=Tripadvisor&utm_medium=Link%20visitar%20web%20en%20Tripadvisor,Sunset 80s,5.0,"Calle Huertas 31, 28014 Madrid España",40.6573513,-3.7650906
Yaebi,Juegos de escape,http://yaebi.com/,Yaebi,5.0,"Calle San Jaime 60, 28031 Madrid España",40.4410662,-3.7984336
Dark Street Escape Room,Juegos de escape,http://www.darkstreet.es/,Dark Street Escape Room,5.0,"Calle Amnistia 3, 28013 Madrid España",40.4172676,-3.7104333
Taberna flamenca El Cortijo,"['Cenas con espectáculo', 'Teatros y actuaciones']",http://www.flamenco-shows.com/,Taberna flamenca El Cortijo,4.5,"Calle Josefa Díaz 4, 28038 Madrid España",40.3932312,-3.6579837
MINA MADRID Escape Room,Juegos de escape,http://www.minamadridescaperoom.es/,MINA MADRID Escape Room,5.0,"Calle Sambara 94, 28027 Madrid España",40.4371165,-3.6439051
Five Mon-keys Escape Game,Juegos de escape,http://www.fivemon-keys.com/,Five Mon-keys Escape Game,5.0,"Calle de la Sal 2 1B, 28012 Madrid España",40.4157671,-3.7061973
Turrones Vicens,Tiendas de regalos y especializadas,http://www.vicens.com/en/index.php,Turrones Vicens,4.5,"Calle Mayor 43, 28013 Madrid España",40.4159717,-3.7083349
Planet Club,"['Bares y discotecas', 'Discotecas y salas de baile']",http://www.partyareamadrid.com/,Planet Club,4.5,"Calle del Principe 20, 28012 Madrid España",40.4140691,-3.7001312
Café Berlín,"['Conciertos', 'Discotecas y salas de baile']",http://www.berlincafe.es/,Café Berlín,4.0,"C/ Costanilla de Los Angeles 20, 28013 Madrid España",40.2308813,-3.109092
The X-Door Madrid Gran Vía,Juegos de escape,http://www.thexdoormadrid.com/,The X-Door Madrid Gran Vía,4.5,"Gran Via 16, 28013 Madrid España",40.4197995,-3.6993966
Wellness Boutique Experience,Spas,http://www.wellnessmadrid.com/,Wellness Boutique Experience,5.0,"Calle Campoamor, 5, 28004 Madrid España",40.3260833,-3.7667782
