_id,enlace,nombre,puntuacion,tipo_cocina,ubicacion
Dspot,No hay link,Dspot,"4,0 ","['€€ - €€€', 'Española']","Calle Arroyofresno 19 Puerta de Hierro, 28035 Madrid España"
Taberna Maceira,,Taberna Maceira,"3,5 ","['€€ - €€€', 'Marisco', 'Europea', 'Española']","Calle Huertas 66, 28014 Madrid España"
Guito´s,,Guito´s,"4,0 ","['€€ - €€€', 'Mediterránea', 'Europea', 'Española']","C/ Blanca de Castilla, 5, 28023 Madrid España"
Garelos,,Garelos,"4,0 ","['€€ - €€€', 'Española', 'Saludable', 'Opciones vegetarianas']","Calle Blanca de Navarra 6, 28010 Madrid España"
Wok King,,Wok King,"4,0 ","['€', 'China', 'Asiática', 'Opciones vegetarianas']","Calle Veneras 9, 28013 Madrid España"
Bar Padrao,,Bar Padrao,"4,0 ","['€', 'Española']","Travesia Parada 4, 28015 Madrid España"
Qubek,,Qubek,"4,5 ","['€€ - €€€', 'Mediterránea']","Calle Moreto,7, 28014 Madrid España"
La Chisperia de Chamberi,,La Chisperia de Chamberi,"4,0 ","['€€ - €€€', 'Opciones vegetarianas', 'Opciones sin gluten']","Calle Alonso Cano 10 En Mercado Municipal de Chamberí, 28010 Madrid España"
La Cuchara de Mariana,http://www.facebook.com/LaCucharadeMariana/,La Cuchara de Mariana,"4,5 ","['€€ - €€€', 'Española']","Calle Bronce 35, 28045 Madrid España"
Labarka de Pintxos,https://www.facebook.com/labarkadepintxosmadrid/,Labarka de Pintxos,"4,0 ","['€', 'Española', 'Vasca']","Calle de la Cruz 11 Junto a la Puerta del Sol, 28012 Madrid España"
Abuelita Alicia,http://www.abuelitaalicia.com/,Abuelita Alicia,"4,0 ","['€', 'Española']","Cardenal Siliceo. 4, 28002 Madrid España"
Bar Sobrado,,Bar Sobrado,"4,0 ","['€€ - €€€', 'Bar', 'Mediterránea', 'Española']","Calle del Pez 30, 28004 Madrid España"
décimo B,,décimo B,"5,0 ","['Española']","Calle del Conde Duque, 8 Calle Conde Duque 8, 28015 Madrid España"
Nunuka - Bistrot de Georgia,,Nunuka - Bistrot de Georgia,"4,5 ","['€€ - €€€', 'Georgiana']","Calle de la Libertad 13, 28004 Madrid España"
Mola Grill,,Mola Grill,"4,5 ","['€€ - €€€', 'Restaurante de carne', 'Mediterránea', 'Española']","Calle Alcantara 71, 28006 Madrid España"
Tanteo,,Tanteo,"4,0 ","['€€ - €€€', 'Mediterránea', 'Europea', 'Española']","Calle Castelló, 104, 28006 Madrid España"
Pescaderia Maximo Cadierno,,Pescaderia Maximo Cadierno,"5,0 ","['€€€€', 'Marisco', 'Mediterránea']","Plaza de la Cebada 33 -34 Planta Baja, 28005 Madrid España"
LAAB,,LAAB,"4,5 ","['€€ - €€€', 'Mediterránea', 'Española', 'Opciones vegetarianas']","Bravo Murillo 84 Bravo Murillo 84, 28003 Madrid España"
La Taberna de Gadea,,La Taberna de Gadea,"4,0 ","['€€ - €€€', 'Española', 'Opciones veganas', 'Opciones sin gluten']","Calle Sajonia, 8, 28022 Madrid España"
Los Madroños,No hay link,Los Madroños,"3,5 ","['€€ - €€€', 'Mediterránea', 'Europea', 'Española']","Plaza de Angel 11, 28012 Madrid España"
El Ancla,No hay link,El Ancla,"4,5 ","['€€ - €€€', 'Mediterránea', 'Española', 'Opciones vegetarianas']","Calle Ceuta 23, 28039 Madrid España"
Restaurante Miss Aris,,Restaurante Miss Aris,"4,0 ","['€€ - €€€', 'Americana']","Calle Agastia Zoa Arturo Soria, 28043 Madrid España"
Hotel Restaurant at Villa Magna,,Hotel Restaurant at Villa Magna,"4,0 ","['€€€€', 'Mediterránea', 'Española']","Paseo Castellana 22, 28046 Madrid España"
la habanera,,la habanera,"3,5 ","['€€ - €€€', 'Opciones vegetarianas', 'Opciones veganas']","calle gimialcon 3 local 3 colmenar viejo COLMENA VIEJO, 28770 Madrid España"
Arrocería Cañas & Barro Madrid,,Arrocería Cañas & Barro Madrid,"4,0 ","['€€ - €€€', 'Mediterránea', 'Española', 'Opciones vegetarianas']","Av. de Filipinas, 4 Semiesquina con Cea Bermúdez, 28003 Madrid España"
Cafetería Oskar,No hay link,Cafetería Oskar,"3,5 ","['€', 'Bar', 'Comida rápida', 'Española']","Calle Silva, 2., 28013 Madrid España"
Bar Manolo,No hay link,Bar Manolo,"4,0 ","['€', 'Bar', 'Café', 'Española']","Avenida Reina Victoria 30, 28003 Madrid España"
La Posada de Carmela,,La Posada de Carmela,"4,5 ","['€€ - €€€', 'Mediterránea', 'Española', 'Venezolana']","Calle Federico Mompou 4 Zona Norte, Las Tablas, 28050 Madrid España"
Baritono Prosperidad,,Baritono Prosperidad,"4,5 ","['€', 'Mexicana', 'Peruana', 'Española']","Calle García Luna, 1, 28002 Madrid España"
Rústika Café,,Rústika Café,"4,0 ","['€€ - €€€', 'Europea', 'Opciones sin gluten']","Calle Limón 11, 28015 Madrid España"
La Vieja Alqueria,No hay link,La Vieja Alqueria,"4,0 ","['€€ - €€€', 'Española']","Calle Suero de Quinones 28 28002, 28002 Madrid España"
Mirador del Arco de Cuchilleros,,Mirador del Arco de Cuchilleros,"3,5 ","['€€ - €€€', 'Española', 'Opciones vegetarianas', 'Opciones sin gluten']","Calle Cava de San Miguel nº8, 28005 Madrid España"
El Mirador de Palma,,El Mirador de Palma,"4,5 ","['€€ - €€€', 'Café', 'Mediterránea', 'Española']","Corbeta 8, 28042 Madrid España"
Larrocería,,Larrocería,"5,0 ","['€', 'Española']","Calle Andrés Mellado, 43 Puesto 11 Mercado De Guzmán El Bueno, 28015 Madrid España"
致青春 To Youths,No hay link,致青春 To Youths,"5,0 ","['€']","Calle de los Reyes 8, 28015 Madrid España"
Saladier,,Saladier,"4,5 ","['€€ - €€€', 'Marroquí', 'Internacional', 'Mediterránea']","Avenida General Perón, 38 Entrada a Centro Comercial Moda Shopping, 28020 Madrid España"
Feito Rio La Salita,,Feito Rio La Salita,"4,0 ","['€€ - €€€', 'Mediterránea', 'Española', 'Opciones vegetarianas']","Calle de Eugenio Caxes, 14, 28026 Madrid España"
Cocina de Neptuno,https://www.facebook.com/cocinadeneptuno/,Cocina de Neptuno,"3,5 ","['€€ - €€€', 'Mediterránea', 'Europea', 'Española']","Calle Cervantes 44, 28014 Madrid España"
Pizza Radical,http://pizzaradical.last.shop/pizza-radical,Pizza Radical,"5,0 ","['€€ - €€€', 'Italiana', 'Americana', 'Pizza']","Calle de Hartzenbusch 8, 28010 Madrid España"
