_id,nombre,puntuacion,direccion,cp,ciudad,pais,enlace,tipo_cocina,direccion_completa,lat,long,precio
5048,El Angel,"5,0 ","Plaza de Verin, 14",28029,Madrid,España,No hay link,['Española'],"Plaza de Verin, 14, 28029, Madrid",40.4773525,-3.7091774,No hay información del precio
5049,Black and Gold Irish Tavern,"3,5 ",Calle Cronos 10,28037,Madrid,España,http://www.blackandgoldirish.com/,"['Bar', 'Española']","Calle Cronos 10, 28037, Madrid",40.2907665,-3.7480859,€€ - €€€
5050,Hatillo Madrid,"4,0 ","Paseo de Ginebra, 26",28022,Madrid,España,https://www.facebook.com/Hatillomadrid/,[''],"Paseo de Ginebra, 26, 28022, Madrid",40.4251616,-3.6059306,No hay información del precio
5054,Restaurante Bar El Racó de Aranaz,"3,5 ",Calle General Aranaz 35,28027,Madrid,España,No hay link,"['Mediterránea', 'Española']","Calle General Aranaz 35, 28027, Madrid",40.4478857,-3.6466159,€€ - €€€
5056,Juanita Cruz,"3,0 ",Paseo de La Habana 105,28036,Madrid,España,http://www.juanitacruz.com/,"['Mediterránea', 'Europea']","Paseo de La Habana 105, 28036, Madrid",40.4587961,-3.6819941,€€ - €€€
5057,Acuarela,"4,5 ","Calle Entre Arroyos, 1",28030,Madrid,España,No hay link,[''],"Calle Entre Arroyos, 1, 28030, Madrid",40.4090977,-3.6561942,No hay información del precio
5058,La Esquina de Téllez,"3,5 ","C/Téllez, 18",28007,Madrid,España,http://www.barrestaurantelaesquinadetellez.com/,"['Mediterránea', 'Española']","C/Téllez, 18, 28007, Madrid",40.4028004,-3.6805069,€€ - €€€
5059,Cafe Figueroa,"4,0 ","Augusto Figueroa, 17",28004,Madrid,España,No hay link,['Café'],"Augusto Figueroa, 17, 28004, Madrid",40.422785,-3.6993686,€€ - €€€
5063,L'Arroz,"4,0 ",Calle Alameda 6,28014,Madrid,España,No hay link,"['Mediterránea', 'Española']","Calle Alameda 6, 28014, Madrid",40.5514652,-3.377836,€€ - €€€
5064,0% Gluten,"4,0 ",Calle Vallehermoso 33,28015,Madrid,España,No hay link,"['Pizza', 'Café', 'Mediterránea']","Calle Vallehermoso 33, 28015, Madrid",40.4327583,-3.7087836,€€ - €€€
5067,Restaurante Magadan,"4,0 ",C/ Manzanar," 2 A,",Madrid,España,No hay link,"['Peruana', 'Sudamericana']","C/ Manzanar,  2 A,, Madrid",40.4653134,-3.6495932,No hay información del precio
5068,Mikkeller bar,"3,5 ",Calle de la Luna 22,28004,Madrid,España,http://mikkeller.dk/location/mikkeller-bar-madrid/,"['Bar', 'Pub']","Calle de la Luna 22, 28004, Madrid",40.4224555,-3.7061826,€€ - €€€
5070,Garelos Galeria Canalejas,"4,0 ","C. de Alcalá, 12",28014,Madrid,España,https://www.garelos.es/,[''],"C. de Alcalá, 12, 28014, Madrid",40.417215,-3.700878,No hay información del precio
5071,Mesón Leonés,"3,5 ",Calle de Antonio Lopez 60,28019,Madrid,España,No hay link,"['Mediterránea', 'Española']","Calle de Antonio Lopez 60, 28019, Madrid",40.3947967,-3.7097601,€€ - €€€
5072,Qosqo Restaurante,"4,0 ","Plaza Andrés Jáuregui, 7",28043,Madrid,España,No hay link,[''],"Plaza Andrés Jáuregui, 7, 28043, Madrid",40.4633611,-3.6294167,No hay información del precio
5073,La Maruca - López De Hoyos,"3,5 ",C/ López De Hoyos 42,28006,Madrid,España,https://restaurantelamaruca.com/,['Española'],"C/ López De Hoyos 42, 28006, Madrid",40.473008,-3.6487362,No hay información del precio
5076,Los Asturianos,"5,0 ",Calle Isabelita Usera 27,28026,Madrid,España,No hay link,"['Bar', 'Pub']","Calle Isabelita Usera 27, 28026, Madrid",40.3822338,-3.7076201,€
5077,Santi,"4,5 ",Calle del Padre Damián 38,28036,Madrid,España,http://www.santimadrid.es/,"['Internacional', 'Mediterránea', 'Española']","Calle del Padre Damián 38, 28036, Madrid",40.4583062,-3.6853427,€
5078,El Goto Mato Cocktail Bar Malasana,"4,0 ",Calle de Manuela Malasana 16,28004,Madrid,España,http://elgotomato.es/,['Vinoteca'],"Calle de Manuela Malasana 16, 28004, Madrid",40.4287787,-3.7042559,€€ - €€€
5079,La Pizza + Sana,"4,5 ",Calle Barquillo 42,28004,Madrid,España,https://www.lapizzamassana.es/,"['Italiana', 'Pizza']","Calle Barquillo 42, 28004, Madrid",40.4240225,-3.6954789,€€ - €€€
5080,Caparra Cerveceria,"4,0 ",Calle de Lopez de Hoyos 327,28033,Madrid,España,No hay link,"['Mediterránea', 'Española']","Calle de Lopez de Hoyos 327, 28033, Madrid",40.463389,-3.658111,No hay información del precio
5081,Degustazone,"5,0 ",Calle de Colon 13,28004,Madrid,España,No hay link,"['Mediterránea', 'Opciones sin gluten']","Calle de Colon 13, 28004, Madrid",40.4237686,-3.7017746,€€ - €€€
5082,Restaurante El pescador,"3,0 ",Glorieta Monte del Gozo,28050,Madrid,España,No hay link,"['Mediterránea', 'Española', 'Opciones vegetarianas']","Glorieta Monte del Gozo, 28050, Madrid",40.5093725,-3.6682805,€€ - €€€
5085,Take & Taste Mundo Selecto,"5,0 ","Plaza Sta. Bárbara, 4",28004,Madrid,España,http://www.takeandtaste.com/,"['Italiana', 'Internacional', 'Europea']","Plaza Sta. Bárbara, 4, 28004, Madrid",40.4269353,-3.6960447,€
5086,H2O,"4,0 ",Calle Luis de La Mata 18,28042,Madrid,España,No hay link,"['Mediterránea', 'Española', 'Opciones vegetarianas']","Calle Luis de La Mata 18, 28042, Madrid",40.45312199999999,-3.6125912652832293,€€ - €€€
5087,Taberna Basarri,"3,5 ","Calle Felipe V, 2",28013,Madrid,España,No hay link,['Española'],"Calle Felipe V, 2, 28013, Madrid",40.5827609,-4.1250781,€€ - €€€
5091,La Taberna De Mi Abuelo,"4,0 ",Calle Moratines 30,28005,Madrid,España,No hay link,['Española'],"Calle Moratines 30, 28005, Madrid",40.4017825,-3.7049712,€€ - €€€
5092,Ramen Shifu Ponzano,"4,5 ","C. de Espronceda, 7",28003,Madrid,España,https://www.ramenshifu.com/,"['Japonesa', 'Asiática']","C. de Espronceda, 7, 28003, Madrid",40.4405573,-3.696109,No hay información del precio
5095,Mar y Tierra San Blas-Canillejas,"4,5 ","C. de Albasanz, 68",28037,Madrid,España,No hay link,[''],"C. de Albasanz, 68, 28037, Madrid",40.4383276,-3.6237555,No hay información del precio
5096,Hornera,"4,0 ",Calle de San Manuel 5,28011,Madrid,España,https://www.facebook.com/lahornera/,"['Mediterránea', 'Española']","Calle de San Manuel 5, 28011, Madrid",40.4024085,-3.760795,No hay información del precio
5098,Tapas 44,"3,5 ","Calle de la Princesa, 76",28008,Madrid,España,http://www.tapas44.com/,"['Mediterránea', 'Española']","Calle de la Princesa, 76, 28008, Madrid",40.4323683,-3.7173,€€ - €€€
5099,Petit Comite Azca,"3,5 ",Avenida Del Presidente Carmona 1,28020,Madrid,España,https://www.facebook.com/PetitComiteAzca,"['Francesa', 'Bar', 'Mediterránea']","Avenida Del Presidente Carmona 1, 28020, Madrid",40.453238150000004,-3.697605264418264,€€ - €€€
5101,Pastelería Cala-Millor,"4,0 ","Calle Leopoldo Alas Clarín, 8",28035,Madrid,España,No hay link,[''],"Calle Leopoldo Alas Clarín, 8, 28035, Madrid",40.5101585,-3.3705605,No hay información del precio
5102,La Fuente de La Virgen,"5,0 ",Calle Sombrereria 3 Lavapies,28012,Madrid,España,http://www.cervezaslavirgen.com/cerveceria/la-fuente-la-virgen/,['Española'],"Calle Sombrereria 3 Lavapies, 28012, Madrid",40.407606,-3.6996052,€
5103,Aarde,"3,0 ",Plaza De La independencia 10,28001,Madrid,España,http://aarde.es/,"['Internacional', 'Saludable', 'Opciones veganas']","Plaza De La independencia 10, 28001, Madrid",40.4194728,-3.6893612,€€€€
5106,Bar Fomento,"4,0 ",Calle Alfonso XII 60,28014,Madrid,España,http://barfomento.es/,"['Café', 'Comida rápida', 'Mediterránea']","Calle Alfonso XII 60, 28014, Madrid",40.2758576,-3.5932976,€
5107,A Barca,"3,5 ","Calle Dolores Barranco, 4",28026,Madrid,España,http://abarcamuxia.com/,['Española'],"Calle Dolores Barranco, 4, 28026, Madrid",40.3834186,-3.7027464,€€ - €€€
5109,Kebab Kurdistan,"4,0 ",Avenida de la Ciudad de Barcelona 95,28007,Madrid,España,http://kebabkurdistanmadrid.com/?utm_source=tripadvisor&utm_campaign=kebabkurdistanmadrid&utm_medium=tr-activation&utm_term=microsite,"['Turca', 'De Oriente Medio', 'Pakistaní']","Avenida de la Ciudad de Barcelona 95, 28007, Madrid",40.40001305,-3.6718429775337844,€
5110,101 Montaditos,"3,5 ","Glorieta Marqués De Vadillo, 4",28019,Madrid,España,No hay link,[],"Glorieta Marqués De Vadillo, 4, 28019, Madrid",40.3971163,-3.7159093,€
5112,Restaurante Casa de México,"4,0 ",Calle de Alberto Aguilera 20,28015,Madrid,España,No hay link,[''],"Calle de Alberto Aguilera 20, 28015, Madrid",40.430131900000006,-3.7094194575973827,No hay información del precio
5115,Nuevo Puerto de Vigo,"3,5 ",Calle Ferraz 44,28008,Madrid,España,No hay link,['Española'],"Calle Ferraz 44, 28008, Madrid",40.4268407,-3.7178265,€€ - €€€
5116,Wakü,"3,5 ","Avenida de Alberto Alcocer, 7",28036,Madrid,España,http://www.waku.es/,"['Americana', 'Venezolana', 'Sudamericana']","Avenida de Alberto Alcocer, 7, 28036, Madrid",40.4595399,-3.6882065,€€ - €€€
5118,Restaurante Baan,"3,5 ","Calle Villanueva, 2",28001,Madrid,España,No hay link,"['Internacional', 'Asiática', 'Tailandesa', 'Fusión']","Calle Villanueva, 2, 28001, Madrid",40.3488353,-4.029065,No hay información del precio
5119,Taqueria de Los Batos,"3,5 ",Calle De Miguel Ángel 26,28010,Madrid,España,No hay link,['Mexicana'],"Calle De Miguel Ángel 26, 28010, Madrid",40.4332049,-3.691335,€€ - €€€
5120,Caronte's Cafe,"4,5 ",Calle Sanchez Barcaiztegui 32,28007,Madrid,España,No hay link,"['Japonesa', 'Café', 'Sushi']","Calle Sanchez Barcaiztegui 32, 28007, Madrid",40.4046636,-3.6741245,€€ - €€€
5121,GO! Sushing Arturo Soria,"4,0 ",Calle Lopez de Hoyos 261,28043,Madrid,España,No hay link,"['Japonesa', 'Sushi', 'Hawaiana']","Calle Lopez de Hoyos 261, 28043, Madrid",40.4723443,-3.6493398,€€ - €€€
5123,Sake-ria,"5,0 ",Calle de Alonso Cano 10,28010,Madrid,España,https://www.facebook.com/sakeriamadrid/,"['Japonesa', 'Bar', 'Sushi']","Calle de Alonso Cano 10, 28010, Madrid",40.4361275,-3.6978631,€€ - €€€
5124,Mila&Co.,"4,5 ","C. de Vallehermoso, 36",28015,Madrid,España,No hay link,[''],"C. de Vallehermoso, 36, 28015, Madrid",40.4340111,-3.7081041,No hay información del precio
5125,La Famosa,"4,0 ","Calle Infanta Mercedes, 17",28020,Madrid,España,No hay link,"['Mediterránea', 'Española']","Calle Infanta Mercedes, 17, 28020, Madrid",40.4537356,-3.699333,€€ - €€€
